sample_id,news_desk,source,biz_rate,world_rate,biz_hits_n,world_hits_n,word_count
0,Business,NYT (real),34.08071748878924,2.242152466367713,76,5,387
1,Business,NYT (real),14.713216957605985,1.9950124688279303,59,8,672
2,Business,NYT (real),12.453183520599252,13.202247191011235,133,141,1847
3,Business,NYT (real),10.483870967741936,12.5,26,31,407
4,Business,NYT (real),23.02158273381295,1.7985611510791366,64,5,459
5,Business,NYT (real),12.458745874587459,5.115511551155116,151,62,2048
6,Business,NYT (real),15.694164989939638,2.816901408450704,78,14,913
7,Business,NYT (real),19.148936170212767,3.900709219858156,54,11,465
8,Business,NYT (real),9.750566893424036,5.782312925170068,86,51,1493
9,Business,NYT (real),5.466237942122186,10.289389067524116,17,32,532
10,Foreign,NYT (real),6.526806526806527,17.24941724941725,28,74,745
11,Foreign,NYT (real),3.605769230769231,10.9375,30,91,1484
12,Foreign,NYT (real),3.723404255319149,20.74468085106383,14,78,638
13,Foreign,NYT (real),3.5935563816604708,8.674101610904584,29,70,1497
14,Foreign,NYT (real),5.730337078651686,7.191011235955056,51,64,1511
15,Foreign,NYT (real),4.945904173106646,16.0741885625966,32,104,1124
16,Foreign,NYT (real),2.7210884353741496,17.006802721088434,4,25,265
17,Foreign,NYT (real),7.758620689655173,7.004310344827586,72,65,1629
18,Foreign,NYT (real),5.043478260869565,6.260869565217392,29,36,1097
19,Foreign,NYT (real),4.029304029304029,8.791208791208792,11,24,445
20,Business,NYT (real),19.260700389105057,5.252918287937743,99,27,865
21,Business,NYT (real),12.211668928086839,5.563093622795115,90,41,1228
22,Business,NYT (real),17.158176943699733,8.668453976764969,192,97,1911
23,Business,NYT (real),11.826697892271662,6.908665105386417,101,59,1451
24,Business,NYT (real),10.98360655737705,3.9344262295081966,67,24,1112
25,Business,NYT (real),5.683192261185006,14.873035066505441,47,123,1468
26,Business,NYT (real),19.642857142857142,4.209183673469388,154,33,1356
27,Business,NYT (real),25.614035087719298,8.070175438596491,73,23,493
28,Business,NYT (real),7.814407814407814,5.128205128205129,64,42,1417
29,Business,NYT (real),17.723880597014926,4.664179104477612,190,50,1934
30,Business,NYT (real),14.285714285714286,2.380952380952381,36,6,460
31,Business,NYT (real),12.559241706161137,3.6334913112164298,159,46,2129
32,Business,NYT (real),19.87878787878788,1.9393939393939394,164,16,1449
33,Business,NYT (real),14.052287581699346,3.2679738562091503,43,10,528
34,Business,NYT (real),11.510791366906474,9.146968139773895,112,89,1640
35,Business,NYT (real),11.251758087201125,6.891701828410689,80,49,1267
36,Business,NYT (real),7.419898819561552,3.372681281618887,44,20,1029
37,Business,NYT (real),17.43486973947896,2.404809619238477,87,12,856
38,Business,NYT (real),17.280813214739517,5.336721728081321,136,42,1357
39,Business,NYT (real),15.58641975308642,4.938271604938271,101,32,1128
40,Business,NYT (real),10.01788908765653,5.18783542039356,56,29,1004
41,Business,NYT (real),12.010796221322536,12.145748987854251,89,90,1268
42,Business,NYT (real),9.736842105263158,4.7368421052631575,37,18,639
43,Business,NYT (real),11.948529411764707,8.823529411764707,130,96,1912
44,Business,NYT (real),19.23076923076923,4.615384615384615,50,12,458
45,Business,NYT (real),18.2983682983683,4.545454545454546,157,39,1373
46,Business,NYT (real),8.117647058823529,6.352941176470588,69,54,1462
47,Business,NYT (real),20.13201320132013,2.6402640264026402,61,8,511
48,Business,NYT (real),13.153724247226624,8.399366085578446,83,53,1082
49,Business,NYT (real),6.551724137931035,8.620689655172415,19,25,496
50,Foreign,NYT (real),4.057971014492754,20.579710144927535,14,71,618
51,Foreign,NYT (real),3.8809831824062098,12.419146183699871,30,96,1349
52,Foreign,NYT (real),3.930131004366812,11.353711790393014,27,78,1246
53,Foreign,NYT (real),2.733118971061093,11.57556270096463,17,72,1182
54,Foreign,NYT (real),4.093567251461988,12.085769980506823,21,62,866
55,Foreign,NYT (real),3.278688524590164,15.300546448087431,12,56,666
56,Foreign,NYT (real),8.362369337979095,14.285714285714286,24,41,492
57,Foreign,NYT (real),7.975460122699387,11.656441717791411,39,57,823
58,Foreign,NYT (real),3.538812785388128,9.360730593607306,31,82,1554
59,Foreign,NYT (real),3.2679738562091503,14.161220043572985,15,65,804
60,Foreign,NYT (real),3.9344262295081966,17.049180327868854,24,104,1073
61,Foreign,NYT (real),4.337349397590361,10.843373493975903,18,45,697
62,Foreign,NYT (real),5.05795574288725,8.219178082191782,48,78,1645
63,Foreign,NYT (real),8.231707317073171,12.804878048780488,27,42,564
64,Foreign,NYT (real),4.681647940074907,10.486891385767791,25,56,954
65,Foreign,NYT (real),3.9592760180995477,12.104072398190045,35,107,1589
66,Foreign,NYT (real),6.094182825484765,19.25207756232687,44,139,1268
67,Foreign,NYT (real),2.5316455696202533,23.417721518987342,4,37,265
68,Foreign,NYT (real),3.673469387755102,13.197278911564625,27,97,1294
69,Foreign,NYT (real),3.429355281207133,12.62002743484225,25,92,1287
70,Foreign,NYT (real),3.0721966205837172,18.740399385560675,20,122,1159
71,Foreign,NYT (real),5.516014234875445,17.081850533807827,31,96,957
72,Foreign,NYT (real),5.095541401273885,10.987261146496815,32,69,1154
73,Foreign,NYT (real),6.225165562913907,12.317880794701987,47,93,1361
74,Foreign,NYT (real),2.9885057471264367,23.908045977011493,13,104,754
75,Foreign,NYT (real),6.066945606694561,13.284518828451883,58,127,1748
76,Foreign,NYT (real),1.8801410105757932,8.695652173913043,16,74,1544
77,Foreign,NYT (real),4.635761589403973,8.940397350993377,14,27,649
78,Foreign,NYT (real),3.6322360953461974,15.777525539160045,32,139,1635
79,Foreign,NYT (real),3.741496598639456,13.945578231292517,11,41,520
