topic_class,prompt_version,news_desk,n,deviation_mean,gpt_mean,nyt_mean
adversarial,A,Business,20,0.6933,-0.0726,-0.7659
adversarial,A,Foreign,19,1.001,0.2474,-0.7536
adversarial,B,Business,20,0.811,0.0451,-0.7659
adversarial,B,Foreign,19,1.1151,0.3615,-0.7536
adversarial,D,Business,20,0.4587,-0.3072,-0.7659
adversarial,D,Foreign,19,0.8347,0.0811,-0.7536
adversarial,E,Business,20,0.5088,-0.2571,-0.7659
adversarial,E,Foreign,19,0.877,0.1234,-0.7536
soft,A,Business,20,0.8537,0.2455,-0.6082
soft,A,Foreign,21,1.068,0.6208,-0.4472
soft,B,Business,20,1.0133,0.4051,-0.6082
soft,B,Foreign,21,1.2221,0.775,-0.4472
soft,D,Business,20,0.5794,-0.0289,-0.6082
soft,D,Foreign,21,0.7666,0.3194,-0.4472
soft,E,Business,20,0.6027,-0.0055,-0.6082
soft,E,Foreign,21,0.8018,0.3547,-0.4472
