model,prompt,desk,n,vader_llm_mean,vader_nyt_mean,vader_deviation,wilcoxon_stat,p_value
Claude-Haiku-4.5,A,Business,40,0.22112250000000003,0.11576833035714285,0.10535416964285715,267.0,0.05481029127986403
Claude-Haiku-4.5,A,Foreign,40,0.05665666666666667,-0.11334166666666667,0.16999833333333333,245.0,0.02589861064188881
Claude-Haiku-4.5,E,Business,40,0.11810673611111108,0.11576833035714285,0.0023384057539682424,395.0,0.8471556244439853
Claude-Haiku-4.5,E,Foreign,40,-0.04342236111111112,-0.11334166666666667,0.06991930555555556,360.0,0.5099141109240009
GPT-4o-mini,A,Business,40,0.4093640277777778,0.11576833035714285,0.29359569742063496,154.0,0.0003571899414964719
GPT-4o-mini,A,Foreign,40,0.30765652777777774,-0.11334166666666667,0.4209981944444444,66.0,3.489894879749045e-07
GPT-4o-mini,B,Business,40,0.44786986111111116,0.11576833035714285,0.33210153075396825,123.0,4.7302397433668375e-05
GPT-4o-mini,B,Foreign,40,0.29426277777777776,-0.11334166666666667,0.4076044444444443,65.0,3.1401395972352475e-07
GPT-4o-mini,D,Business,40,0.2580148611111111,0.11576833035714285,0.14224653075396826,271.0,0.062184092836105265
GPT-4o-mini,D,Foreign,40,0.09158916666666665,-0.11334166666666667,0.20493083333333334,224.0,0.011536851214259514
GPT-4o-mini,E,Business,40,0.20485798611111114,0.11576833035714285,0.08908965575396825,316.0,0.21131373006210197
GPT-4o-mini,E,Foreign,40,0.13321451388888889,-0.11334166666666667,0.24655618055555556,198.0,0.003690388592076488
Gemini-2.5-Flash,A,Business,40,0.18176868055555556,0.11576833035714285,0.0660003501984127,325.0,0.259140549798758
Gemini-2.5-Flash,A,Foreign,40,0.10389045833333332,-0.11334166666666667,0.217232125,182.0,0.0016823487039800966
Gemini-2.5-Flash,E,Business,40,0.23266118055555554,0.11576833035714285,0.11689285019841271,284.0,0.0918240616483672
Gemini-2.5-Flash,E,Foreign,40,0.07026884722222222,-0.11334166666666667,0.18361051388888888,207.0,0.005576999594268273
