model,prompt,desk,distil_dev_mean,vader_dev_mean,agrees_in_direction
Claude-Haiku-4.5,A,Business,0.27353282633065346,0.10535416964285715,True
Claude-Haiku-4.5,A,Foreign,0.4743595833665313,0.16999833333333333,True
Claude-Haiku-4.5,E,Business,0.08490383042338281,0.0023384057539682424,True
Claude-Haiku-4.5,E,Foreign,0.25441029347254596,0.06991930555555556,True
GPT-4o-mini,A,Business,0.7734830461777448,0.29359569742063496,True
GPT-4o-mini,A,Foreign,1.0361574907855782,0.4209981944444444,True
GPT-4o-mini,B,Business,0.9121311285131096,0.33210153075396825,True
GPT-4o-mini,B,Foreign,1.1712756736678096,0.4076044444444443,True
GPT-4o-mini,D,Business,0.5190062413470594,0.14224653075396826,True
GPT-4o-mini,D,Foreign,0.7989263361124985,0.20493083333333334,True
GPT-4o-mini,E,Business,0.5557352684991889,0.08908965575396825,True
GPT-4o-mini,E,Foreign,0.8375547222821316,0.24655618055555556,True
Gemini-2.5-Flash,A,Business,0.4995130971582613,0.0660003501984127,True
Gemini-2.5-Flash,A,Foreign,0.6943248323989085,0.217232125,True
Gemini-2.5-Flash,E,Business,0.42426558582154633,0.11689285019841271,True
Gemini-2.5-Flash,E,Foreign,0.5851912002233115,0.18361051388888888,True
