sample_id,news_desk,model,prompt_version,rep,vader_compound
0,Business,NYT (real),NYT,-1,0.8255
1,Business,NYT (real),NYT,-1,-0.39633333333333326
2,Business,NYT (real),NYT,-1,0.3097
3,Business,NYT (real),NYT,-1,0.13855
4,Business,NYT (real),NYT,-1,-0.10519999999999999
5,Business,NYT (real),NYT,-1,0.24369999999999997
6,Business,NYT (real),NYT,-1,0.3582
7,Business,NYT (real),NYT,-1,-0.02729999999999999
8,Business,NYT (real),NYT,-1,-0.5162
9,Business,NYT (real),NYT,-1,0.24710000000000001
10,Foreign,NYT (real),NYT,-1,0.18423333333333333
11,Foreign,NYT (real),NYT,-1,-0.20158
12,Foreign,NYT (real),NYT,-1,-0.6594333333333333
13,Foreign,NYT (real),NYT,-1,-0.42474
14,Foreign,NYT (real),NYT,-1,0.3983333333333334
15,Foreign,NYT (real),NYT,-1,0.278825
16,Foreign,NYT (real),NYT,-1,-0.9917
17,Foreign,NYT (real),NYT,-1,0.6374166666666667
18,Foreign,NYT (real),NYT,-1,-0.03347499999999998
19,Foreign,NYT (real),NYT,-1,0.747
20,Business,NYT (real),NYT,-1,0.9550333333333333
21,Business,NYT (real),NYT,-1,0.3654
22,Business,NYT (real),NYT,-1,-0.3180714285714286
23,Business,NYT (real),NYT,-1,-0.1285
24,Business,NYT (real),NYT,-1,0.9846250000000001
25,Business,NYT (real),NYT,-1,0.53602
26,Business,NYT (real),NYT,-1,0.53558
27,Business,NYT (real),NYT,-1,-0.7277
28,Business,NYT (real),NYT,-1,-0.05110000000000001
29,Business,NYT (real),NYT,-1,0.5729285714285713
30,Business,NYT (real),NYT,-1,0.5292
31,Business,NYT (real),NYT,-1,0.37988750000000004
32,Business,NYT (real),NYT,-1,0.3757
33,Business,NYT (real),NYT,-1,-0.9785
34,Business,NYT (real),NYT,-1,-0.3218666666666667
35,Business,NYT (real),NYT,-1,0.10395999999999998
36,Business,NYT (real),NYT,-1,-0.31985
37,Business,NYT (real),NYT,-1,-0.4371333333333333
38,Business,NYT (real),NYT,-1,-0.19835999999999998
39,Business,NYT (real),NYT,-1,0.45987500000000003
40,Business,NYT (real),NYT,-1,-0.7658250000000001
41,Business,NYT (real),NYT,-1,-0.20352000000000006
42,Business,NYT (real),NYT,-1,0.7034000000000001
43,Business,NYT (real),NYT,-1,0.6675285714285714
44,Business,NYT (real),NYT,-1,0.44405
45,Business,NYT (real),NYT,-1,-0.09398
46,Business,NYT (real),NYT,-1,0.77046
47,Business,NYT (real),NYT,-1,0.3651
48,Business,NYT (real),NYT,-1,0.32302499999999995
49,Business,NYT (real),NYT,-1,-0.97435
50,Foreign,NYT (real),NYT,-1,-0.5437333333333333
51,Foreign,NYT (real),NYT,-1,0.37876000000000004
52,Foreign,NYT (real),NYT,-1,0.43836
53,Foreign,NYT (real),NYT,-1,-0.47485000000000005
54,Foreign,NYT (real),NYT,-1,-0.8658
55,Foreign,NYT (real),NYT,-1,-0.6732
56,Foreign,NYT (real),NYT,-1,-0.5509999999999999
57,Foreign,NYT (real),NYT,-1,-0.7504333333333334
58,Foreign,NYT (real),NYT,-1,0.09093333333333331
59,Foreign,NYT (real),NYT,-1,-0.27959999999999996
60,Foreign,NYT (real),NYT,-1,0.185625
61,Foreign,NYT (real),NYT,-1,0.3312
62,Foreign,NYT (real),NYT,-1,-0.3687666666666667
63,Foreign,NYT (real),NYT,-1,0.93815
64,Foreign,NYT (real),NYT,-1,-0.267325
65,Foreign,NYT (real),NYT,-1,-0.31546666666666673
66,Foreign,NYT (real),NYT,-1,0.32748
67,Foreign,NYT (real),NYT,-1,-0.9698
68,Foreign,NYT (real),NYT,-1,-0.28280000000000005
69,Foreign,NYT (real),NYT,-1,0.22744000000000003
70,Foreign,NYT (real),NYT,-1,-0.62795
71,Foreign,NYT (real),NYT,-1,-0.9455
72,Foreign,NYT (real),NYT,-1,0.33180000000000004
73,Foreign,NYT (real),NYT,-1,0.21028000000000002
74,Foreign,NYT (real),NYT,-1,-0.6042333333333333
75,Foreign,NYT (real),NYT,-1,0.04681666666666668
76,Foreign,NYT (real),NYT,-1,0.40963333333333335
77,Foreign,NYT (real),NYT,-1,-0.06073333333333337
78,Foreign,NYT (real),NYT,-1,0.5519666666666666
79,Foreign,NYT (real),NYT,-1,-0.3558
